1 0 0 0 6.28319 0 
1 0 0.00271187 0.210333 6.28319 0 
0 0 0 0 0 0 


0.990806 0.135456 3.64589e-05 -0.848261 6.22528 0.00252806 
0.993527 0.135458 -0.000266227 -0.86677 6.22561 -0.207076 
0 0 0 0 0 0 


0.977173 0.212775 6.19118e-05 -1.33211 6.13933 0.00124995 
0.978583 0.212783 -0.00236497 -1.50595 6.13987 -0.10487 
0 0 0 0 0 0 


0.956163 0.29329 6.28301e-05 -1.83778 6.00694 -0.00112958 
0.955003 0.293302 -0.0024965 -2.02117 6.00674 0.0865001 
0 0 0 0 0 0 


0.916397 0.400752 2.27055e-05 -2.51566 5.75678 -0.00259276 
0.913759 0.400741 0.000645641 -2.46357 5.75461 0.203191 
0 0 0 0 0 0 


0.842452 0.539149 1.08314e-06 -3.38637 5.29222 0.00138461 
0.844034 0.539113 0.00219655 -3.21406 5.29405 -0.121336 
0 0 0 0 0 0 


0.784131 0.620961 3.55794e-05 -3.8974 4.92574 0.00232569 
0.786767 0.620986 -0.000755804 -3.95306 4.93066 -0.198953 
0 0 0 0 0 0 


0.733061 0.680557 5.62991e-05 -4.27001 4.60472 0.000736823 
0.734024 0.680634 -0.00257269 -4.46106 4.60734 -0.0712738 
0 0 0 0 0 0 


0.662333 0.749637 4.53619e-05 -4.70442 4.16019 -0.00201303 
0.660343 0.749699 -0.00187876 -4.84445 4.15542 0.15029 
0 0 0 0 0 0 


0.537005 0.843995 -1.24374e-05 -5.30103 3.37291 -0.00114956 
0.536005 0.843885 0.00246308 -5.10218 3.36887 0.0787417 
0 0 0 0 0 0 


0.449623 0.893613 -5.84157e-06 -5.6118 2.8241 0.00179592 
0.451723 0.893531 0.00169189 -5.47563 2.83156 -0.160686 
0 0 0 0 0 0 


0.378177 0.926126 2.18884e-05 -5.81362 2.37532 0.00225757 
0.380819 0.926167 -0.000747993 -5.86819 2.38598 -0.198633 
0 0 0 0 0 0 


0.304429 0.952936 4.1868e-05 -5.98027 1.91205 0.000679648 
0.305395 0.953081 -0.00256642 -6.17295 1.91674 -0.0712788 
0 0 0 0 0 0 


